x= 0.994288 y= 0.29369 yaw= -0.502368 dt= 0.0335257[20.0467,-25.4252|20.0511,-25.3498][15.5751,-25.3849|15.5743,-25.3039][9.80701,-25.1959|9.78647,-25.1186][12.0913,-25.2331|12.0775,-25.1488][8.65963,-25.0807|8.63341,-25.0086][11.2535,-25.08|11.2401,-24.9892][9.6859,-24.8012|9.66584,-24.7241][13.3865,-24.8472|13.3906,-24.7668][16.9444,-24.763|16.9457,-24.6856][8.52346,-24.6739|8.49443,-24.5961]
x= 0.996204 y= 0.274622 yaw= -0.211899 dt= 0.0335312[20.0511,-25.3498|20.2644,-25.3666][15.5743,-25.3039|15.7823,-25.3439][9.78647,-25.1186|9.98351,-25.1967][12.0775,-25.1488|12.2763,-25.2013][8.63341,-25.0086|8.82116,-25.0827][11.2401,-24.9892|11.4383,-25.0541][9.66584,-24.7241|9.86383,-24.7988][13.3906,-24.7668|13.5919,-24.8254][16.9457,-24.6856|17.1494,-24.7222][8.49443,-24.5961|8.68969,-24.6638]
x= 1.14544 y= 0.316101 yaw= -0.535171 dt= 0.0333412[20.2644,-25.3666|20.3124,-25.3889][15.7823,-25.3439|15.8192,-25.3654][9.98351,-25.1967|9.99803,-25.2045][12.2763,-25.2013|12.3174,-25.1928][8.82116,-25.0827|8.8367,-25.0989][11.4383,-25.0541|11.4718,-25.0423][9.86383,-24.7988|9.87782,-24.8039][13.5919,-24.8254|13.6294,-24.8341][17.1494,-24.7222|17.1889,-24.7384][8.68969,-24.6638|8.69768,-24.6665]
x= 1.22713 y= 0.330326 yaw= -0.536456 dt= 0.0331521[9.99803,-25.2045|10.1885,-25.5031][12.3174,-25.1928|12.5591,-25.4598][8.8367,-25.0989|9.02573,-25.4202][11.4718,-25.0423|11.7155,-25.3085][9.87782,-24.8039|10.0795,-25.1073][13.6294,-24.8341|13.8659,-25.1231][17.1889,-24.7384|13.6357,-19.5951][8.69768,-24.6665|8.89127,-24.9811][9.29864,-24.5409|9.49595,-24.8536][12.1245,-24.2477|12.365,-24.5376]
x= 1.35802 y= 0.36883 yaw= -0.646475 dt= 0.0332046[10.1885,-25.5031|10.2042,-25.3139][12.5591,-25.4598|12.5885,-25.2554][9.02573,-25.4202|9.03957,-25.2391][11.7155,-25.3085|11.753,-25.108][10.0795,-25.1073|10.0967,-24.921][13.8659,-25.1231|13.9107,-24.9462][8.89127,-24.9811|8.90003,-24.7856][9.49595,-24.8536|9.51519,-24.6629][12.365,-24.5376|12.4059,-24.3495][13.6632,-24.5544|13.7065,-24.3752]
x= 1.37539 y= 0.356258 yaw= -0.499294 dt= 0.0330279[10.2042,-25.3139|10.3169,-25.4334][12.5885,-25.2554|12.7484,-25.3601][9.03957,-25.2391|9.15358,-25.3649][11.753,-25.108|11.9081,-25.2095][10.0967,-24.921|10.2237,-25.0413][13.9107,-24.9462|14.0648,-25.059][8.90003,-24.7856|9.01565,-24.9087][9.51519,-24.6629|9.63727,-24.7827][12.4059,-24.3495|12.5579,-24.4605][13.7065,-24.3752|13.8548,-24.4886]
x= 1.52931 y= 0.403173 yaw= -0.686513 dt= 0.0328505[10.3169,-25.4334|10.4448,-25.4593][12.7484,-25.3601|12.8996,-25.3783][9.15358,-25.3649|9.28758,-25.3911][11.9081,-25.2095|12.0611,-25.2291][10.2237,-25.0413|10.3614,-25.0654][14.0648,-25.059|14.221,-25.0825][17.6234,-25.0049|17.7796,-25.0227][9.01565,-24.9087|9.14601,-24.9317][9.63727,-24.7827|9.76703,-24.8088][12.5579,-24.4605|12.7106,-24.4809]
x= 1.43581 y= 0.349663 yaw= -0.705248 dt= 0.0329401[10.4448,-25.4593|10.8722,-25.2208][12.8996,-25.3783|13.3437,-25.1443][9.28758,-25.3911|9.70858,-25.1621][12.0611,-25.2291|12.5103,-24.9981][10.3614,-25.0654|10.8,-24.8341][14.221,-25.0825|14.6887,-24.8576][17.7796,-25.0227|18.2372,-24.8144][9.14601,-24.9317|9.57067,-24.7007][9.76703,-24.8088|10.1996,-24.5814][12.7106,-24.4809|13.1664,-24.2643]
x= 1.85557 y= 0.520161 yaw= -0.902451 dt= 0.0327759[12.5103,-24.9981|12.8323,-25.4287][10.8,-24.8341|11.0561,-25.2772][14.6887,-24.8576|15.0222,-25.3227][18.2372,-24.8144|18.5807,-25.2909][9.57067,-24.7007|9.83133,-25.1666][10.1996,-24.5814|10.468,-25.0294][13.1664,-24.2643|13.4819,-24.7037][14.4771,-24.288|14.8046,-24.7474][12.474,-24.1908|12.7879,-24.6211][16.716,-24.4383|17.0561,-24.9187]
x= 1.69206 y= 0.43701 yaw= -0.916932 dt= 0.0326118[12.8323,-25.4287|12.5382,-24.9294][11.0561,-25.2772|10.7569,-24.7862][15.0222,-25.3227|14.7215,-24.8458][9.83133,-25.1666|9.52529,-24.6762][10.468,-25.0294|10.1673,-24.5421][13.4819,-24.7037|13.1863,-24.2145][14.8046,-24.7474|14.5006,-24.2696][12.7879,-24.6211|12.4924,-24.1325][17.0561,-24.9187|14.296,-20.8696][11.8436,-24.5557|11.547,-24.0785]
